time,success,flying,dropped,failed
0,0,0,0,0
10000,0,5,0,0
20000,0,11,3,0
30000,0,15,3,0
40000,0,22,4,0
50000,1,27,5,0
60000,2,32,10,0
70000,10,27,11,0
80000,15,32,12,0
90000,19,40,15,0
100000,23,45,17,0
110000,29,50,21,0
120000,37,47,26,0
130000,44,47,30,0
140000,52,46,31,0
150000,67,32,33,0
160000,74,27,38,0
170000,80,31,39,0
180000,86,30,41,0
190000,94,31,45,0
200000,98,35,46,0
210000,100,41,50,0
220000,103,45,54,0
230000,115,39,55,0
240000,123,42,55,0
250000,131,45,57,0
260000,139,36,60,1
270000,145,39,61,1
280000,156,35,62,1
290000,163,34,65,1
300000,170,34,69,1
310000,177,35,71,1
320000,180,43,72,1
330000,190,41,74,1
340000,196,44,74,1
350000,204,43,74,1
360000,213,39,77,1
370000,224,38,79,1
380000,234,36,82,1
390000,242,38,84,1
400000,246,41,85,1
410000,249,49,88,1
420000,260,51,90,1
430000,269,48,93,1
440000,279,50,97,1
450000,288,46,98,1
460000,296,41,101,1
470000,307,36,103,1
480000,314,41,107,1
490000,324,36,110,1
500000,337,23,115,1
510000,339,28,119,1
520000,343,31,120,1
530000,348,31,122,1
540000,355,32,124,1
550000,361,36,124,1
560000,367,40,125,1
570000,372,41,127,1
580000,380,43,130,1
590000,384,44,133,1
600000,395,41,134,1
610000,403,40,139,1
620000,412,36,142,1
630000,418,38,147,1
640000,422,41,152,1
650000,429,45,153,1
660000,436,43,155,1
670000,441,47,157,1
680000,450,46,162,1
690000,460,49,165,1
700000,472,48,169,1
710000,481,46,170,1
720000,486,48,171,1
730000,492,48,174,1
740000,508,40,177,1
750000,517,37,182,1
760000,521,41,184,1
770000,531,34,186,1
780000,534,37,187,1
790000,546,35,189,1
800000,552,38,191,1
810000,557,48,192,1
820000,564,54,195,1
830000,571,57,199,1
840000,581,56,201,1
850000,587,52,205,1
860000,599,48,208,2
870000,611,45,212,2
880000,621,42,215,2
890000,636,33,218,2
900000,641,34,220,3
910000,647,34,221,3
920000,652,33,225,3
930000,660,37,225,3
940000,667,34,226,3
950000,673,42,227,3
960000,677,46,227,3
970000,688,37,233,3
980000,695,38,233,3
990000,702,43,234,3
1000000,711,41,235,3
1010000,719,38,235,3
1020000,725,38,238,3
1030000,738,28,239,3
1040000,746,27,240,3
1050000,752,27,241,3
1060000,753,33,245,3
1070000,763,27,245,3
1080000,767,31,248,3
1090000,774,36,251,3
1100000,779,42,251,3
1110000,784,47,256,3
1120000,790,49,258,3
1130000,803,42,263,3
1140000,810,38,268,3
1150000,817,34,268,3
1160000,827,30,269,3
1170000,833,31,273,3
1180000,842,25,277,3
1190000,845,33,279,3
1200000,849,36,280,4
1210000,854,40,283,4
1220000,862,39,287,4
1230000,865,42,288,4
1240000,866,50,290,4
1250000,874,51,294,4
1260000,889,38,295,4
1270000,900,35,297,4
1280000,907,36,297,4
1290000,916,35,298,4
1300000,922,35,303,4
1310000,926,36,308,4
1320000,934,38,310,4
1330000,940,40,312,4
1340000,946,41,314,4
1350000,955,38,315,4
1360000,958,41,317,4
1370000,964,46,318,4
1380000,981,37,321,4
1390000,987,41,323,4
1400000,990,42,327,4
1410000,996,46,331,4
1420000,1005,47,336,4
1430000,1015,44,338,4
1440000,1028,44,341,4
1450000,1036,41,342,4
1460000,1043,38,344,4
1470000,1051,37,345,4
1480000,1057,45,347,4
1490000,1066,40,351,4
1500000,1073,37,352,4
1510000,1087,32,354,4
1520000,1091,32,358,4
1530000,1099,30,359,4
1540000,1103,34,361,4
1550000,1113,33,362,4
1560000,1119,36,364,4
1570000,1124,37,366,4
1580000,1133,37,370,4
1590000,1139,38,371,4
1600000,1144,40,373,4
1610000,1153,40,376,4
1620000,1158,38,381,4
1630000,1171,35,384,4
1640000,1177,41,384,4
1650000,1184,43,387,4
1660000,1186,47,388,4
1670000,1200,42,390,4
1680000,1211,38,396,4
1690000,1215,49,397,4
1700000,1223,49,404,4
1710000,1231,47,406,4
1720000,1242,44,406,4
1730000,1254,38,409,4
1740000,1262,39,411,4
1750000,1271,39,413,4
1760000,1279,38,416,4
1770000,1286,35,417,4
1780000,1294,33,418,4
1790000,1298,40,419,4
1800000,1307,38,423,4
1810000,1315,45,424,4
1820000,1321,51,428,4
1830000,1330,53,431,4
1840000,1337,56,432,4
1850000,1343,55,433,4
1860000,1357,50,436,4
1870000,1369,46,441,4
1880000,1382,42,442,4
1890000,1387,44,444,4
1900000,1395,43,446,4
1910000,1409,36,446,4
1920000,1415,36,448,4
1930000,1426,31,454,4
1940000,1434,27,455,4
1950000,1435,37,459,4
1960000,1438,41,460,4
1970000,1447,37,463,4
1980000,1454,35,466,4
1990000,1459,42,467,4
2000000,1465,42,469,4
2010000,1472,39,470,4
2020000,1479,40,471,4
2030000,1485,36,473,4
2040000,1493,35,474,4
2050000,1502,31,476,4
2060000,1508,34,478,4
2070000,1513,33,478,4
2080000,1521,34,480,4
2090000,1526,42,482,4
2100000,1539,37,485,4
2110000,1544,46,486,4
2120000,1549,49,488,4
2130000,1559,47,491,4
2140000,1567,44,494,4
2150000,1578,35,495,4
