time,success,flying,dropped,failed
0,0,0,0,0
10000,0,6,2,0
20000,0,18,6,0
30000,0,24,10,0
40000,0,31,12,0
50000,1,33,15,0
60000,2,40,18,0
70000,3,42,26,0
80000,3,46,32,0
90000,5,52,39,0
100000,9,57,45,0
110000,12,56,52,0
120000,15,63,59,0
130000,19,63,64,0
140000,22,68,69,0
150000,26,71,73,0
160000,35,60,82,0
170000,38,61,90,0
180000,44,61,92,0
190000,50,55,102,0
200000,56,58,106,0
210000,63,58,110,0
220000,68,58,114,0
230000,72,59,116,0
240000,77,57,124,0
250000,85,53,129,0
260000,89,54,135,0
270000,91,52,138,0
280000,95,56,145,1
290000,97,57,147,1
300000,102,55,155,1
310000,106,60,156,1
320000,113,57,162,1
330000,116,58,164,1
340000,123,54,170,1
350000,128,53,174,1
360000,134,59,179,1
370000,139,54,184,1
380000,141,53,190,1
390000,149,52,198,1
400000,158,45,200,1
410000,161,48,206,1
420000,162,55,209,1
430000,165,60,216,2
440000,172,58,218,2
450000,176,60,221,2
460000,182,61,225,2
470000,190,60,229,2
480000,194,57,236,2
490000,200,54,244,2
500000,206,50,250,2
510000,212,49,256,2
520000,218,46,259,2
530000,224,45,265,2
540000,226,48,270,2
550000,228,49,277,2
560000,231,53,281,2
570000,238,50,287,2
580000,245,49,290,2
590000,248,55,293,2
600000,254,55,298,2
610000,257,52,302,2
620000,260,48,309,2
630000,264,48,315,2
640000,270,49,320,2
650000,273,53,323,2
660000,274,60,329,2
670000,285,58,332,2
680000,291,57,334,2
690000,292,57,341,2
700000,295,60,346,2
710000,301,56,349,2
