time,success,flying,dropped,failed
0,0,0,0,0
10000,0,5,1,0
20000,0,15,1,0
30000,0,24,3,0
40000,1,32,3,0
50000,1,43,6,0
60000,1,49,7,0
70000,2,59,8,0
80000,2,66,8,0
90000,8,67,12,0
100000,12,67,17,0
110000,18,68,20,0
120000,23,69,23,0
130000,29,70,28,0
140000,36,72,30,0
150000,45,71,32,0
160000,53,69,36,0
170000,57,70,37,0
180000,68,61,40,0
190000,73,68,41,0
200000,82,66,45,0
210000,89,66,49,0
220000,94,67,50,0
230000,100,65,52,0
240000,107,64,54,0
250000,114,68,57,0
260000,123,71,59,0
270000,125,72,61,0
280000,133,71,65,0
290000,141,71,69,0
300000,149,71,72,0
310000,156,73,76,0
320000,162,79,79,0
330000,168,79,84,0
340000,173,82,86,0
350000,179,81,88,0
360000,188,77,91,0
370000,194,75,97,0
380000,200,78,101,0
390000,209,77,102,0
400000,215,82,103,0
410000,223,80,105,0
420000,236,76,107,0
430000,245,72,109,0
440000,251,75,110,0
450000,255,82,111,0
460000,263,77,114,0
470000,268,83,119,0
480000,276,84,121,0
490000,288,79,127,0
500000,296,80,129,0
510000,306,75,134,0
520000,311,76,136,0
530000,315,81,139,0
540000,327,81,140,0
550000,335,81,142,0
560000,342,82,142,0
570000,345,85,145,0
580000,355,84,147,0
590000,365,79,149,0
600000,372,79,157,0
610000,385,75,159,0
620000,393,72,162,0
630000,402,77,162,0
640000,410,78,163,0
650000,415,75,164,0
660000,423,76,164,0
670000,431,77,166,0
680000,440,75,168,0
690000,444,77,169,0
700000,457,75,170,0
710000,463,70,173,0
720000,476,64,176,0
730000,489,61,176,0
740000,496,64,177,0
750000,502,65,178,0
760000,506,74,180,0
770000,511,81,182,0
780000,519,84,183,0
790000,527,90,184,0
800000,533,88,184,0
810000,540,87,186,0
820000,544,94,189,0
830000,558,82,193,0
840000,569,82,194,0
850000,574,86,196,0
860000,580,90,197,0
870000,587,87,198,0
880000,601,84,200,0
890000,609,80,202,0
900000,616,84,204,0
910000,626,83,205,0
920000,639,74,207,0
930000,646,74,210,0
940000,652,81,211,0
950000,661,78,213,0
960000,666,77,217,0
970000,674,75,218,0
980000,682,77,219,0
990000,691,72,220,0
1000000,695,75,220,0
1010000,703,72,221,0
1020000,710,72,224,0
1030000,715,75,227,0
1040000,726,71,229,0
1050000,739,72,229,0
1060000,740,77,230,0
1070000,748,74,237,0
1080000,758,70,238,0
1090000,764,74,239,0
1100000,772,72,242,0
1110000,780,71,245,0
1120000,785,71,249,0
1130000,790,76,251,0
1140000,797,79,252,0
1150000,808,75,255,0
1160000,814,75,258,1
1170000,822,71,260,1
1180000,831,64,263,1
1190000,838,68,265,1
1200000,846,69,267,1
1210000,853,71,269,1
1220000,857,72,271,1
1230000,865,69,272,1
1240000,872,69,273,1
1250000,877,76,275,1
1260000,883,79,280,1
1270000,889,76,282,1
1280000,897,76,285,1
1290000,903,80,287,1
1300000,909,83,289,1
1310000,918,81,295,1
1320000,925,87,297,1
1330000,932,91,297,1
1340000,939,93,298,1
1350000,949,86,302,1
1360000,961,81,303,1
1370000,968,80,307,1
1380000,975,85,308,1
1390000,983,81,313,1
1400000,991,84,314,1
1410000,1002,80,315,1
1420000,1006,84,318,1
1430000,1017,79,319,1
1440000,1027,79,319,1
1450000,1034,83,320,1
1460000,1043,79,321,1
1470000,1048,83,328,1
1480000,1055,85,330,1
1490000,1060,91,332,1
1500000,1068,92,334,1
1510000,1071,99,334,1
1520000,1082,92,338,1
1530000,1094,90,340,1
1540000,1107,89,341,1
1550000,1115,88,344,1
1560000,1123,86,346,1
1570000,1131,84,349,1
1580000,1136,88,351,1
1590000,1145,85,352,1
1600000,1156,88,353,1
1610000,1164,89,355,1
1620000,1176,84,356,1
1630000,1186,86,358,1
1640000,1196,85,359,1
1650000,1202,79,362,1
1660000,1211,78,363,1
1670000,1226,71,366,1
1680000,1233,72,367,1
1690000,1243,67,369,1
1700000,1250,72,369,1
1710000,1254,67,374,1
1720000,1259,68,378,1
1730000,1266,71,378,1
1740000,1271,73,382,1
1750000,1281,70,383,1
1760000,1288,76,385,1
1770000,1299,76,388,1
1780000,1304,80,391,1
1790000,1310,87,393,1
1800000,1319,81,394,1
1810000,1326,81,395,1
1820000,1335,84,397,1
1830000,1339,86,397,1
1840000,1348,85,401,1
1850000,1358,84,403,1
1860000,1366,85,405,1
1870000,1375,80,406,1
1880000,1380,86,408,1
1890000,1388,80,412,1
1900000,1390,87,416,1
1910000,1406,79,417,2
1920000,1419,70,419,2
1930000,1430,65,423,2
1940000,1435,69,428,2
1950000,1441,68,431,2
1960000,1447,69,432,2
1970000,1456,65,434,2
1980000,1465,67,434,2
1990000,1469,67,435,2
2000000,1476,65,437,2
2010000,1479,65,440,2
2020000,1485,67,442,2
2030000,1491,69,445,2
2040000,1496,69,448,3
2050000,1503,72,452,3
2060000,1509,67,458,3
2070000,1517,65,464,3
2080000,1525,61,467,3
2090000,1530,65,469,3
2100000,1536,66,471,3
2110000,1538,70,475,3
2120000,1544,70,478,3
2130000,1551,73,480,3
2140000,1559,74,482,3
2150000,1565,76,484,3
2160000,1570,78,487,3
2170000,1575,78,488,3
2180000,1587,70,489,3
2190000,1593,73,493,3
2200000,1599,74,497,3
2210000,1607,77,497,3
2220000,1617,71,500,3
2230000,1626,67,501,3
2240000,1632,67,503,3
2250000,1639,71,506,3
2260000,1647,72,511,3
2270000,1653,71,511,3
2280000,1659,76,511,3
2290000,1664,82,512,3
2300000,1674,83,512,3
2310000,1679,87,516,3
2320000,1685,95,517,3
2330000,1695,93,520,3
2340000,1704,92,522,3
2350000,1713,89,523,3
2360000,1726,83,524,3
2370000,1730,84,529,3
2380000,1737,88,531,3
2390000,1749,83,533,3
2400000,1757,87,533,3
2410000,1767,84,534,3
2420000,1778,82,536,3
2430000,1784,81,538,3
2440000,1794,75,544,3
2450000,1804,74,547,3
2460000,1807,73,551,3
2470000,1813,83,551,3
2480000,1820,86,552,3
2490000,1826,92,553,3
2500000,1835,93,554,3
2510000,1843,95,554,3
2520000,1854,91,555,3
2530000,1864,92,556,3
2540000,1872,94,559,3
2550000,1884,88,563,3
2560000,1894,82,567,3
2570000,1904,78,570,3
2580000,1912,76,575,3
2590000,1920,75,575,3
2600000,1930,76,579,3
2610000,1937,76,583,3
2620000,1950,69,585,3
2630000,1954,78,586,3
2640000,1961,80,587,3
2650000,1975,67,589,3
2660000,1979,69,592,3
2670000,1983,74,594,3
2680000,1990,74,596,3
2690000,1995,75,597,3
2700000,2003,76,600,3
2710000,2012,71,600,3
2720000,2024,66,603,3
2730000,2030,67,605,4
2740000,2035,71,607,4
2750000,2041,71,609,4
2760000,2048,75,613,4
2770000,2055,80,615,4
2780000,2066,77,619,4
2790000,2073,82,622,4
2800000,2082,77,622,4
2810000,2090,73,626,4
2820000,2096,78,629,4
2830000,2101,79,629,4
2840000,2109,81,631,4
2850000,2117,84,631,4
2860000,2122,85,636,4
2870000,2130,80,638,4
2880000,2138,81,641,5
2890000,2148,77,641,5
2900000,2155,81,643,5
2910000,2163,78,648,5
2920000,2173,73,649,5
2930000,2182,74,649,5
2940000,2190,77,652,5
2950000,2196,75,656,5
2960000,2204,74,657,5
2970000,2210,75,657,5
2980000,2215,79,659,5
2990000,2223,72,663,5
3000000,2229,72,664,5
3010000,2238,69,664,5
3020000,2250,65,666,5
3030000,2255,70,667,5
3040000,2262,72,667,5
3050000,2273,71,671,5
3060000,2278,72,672,5
3070000,2281,77,676,5
3080000,2287,75,679,5
3090000,2297,73,682,5
3100000,2303,74,684,5
3110000,2314,71,686,5
3120000,2320,74,686,5
3130000,2327,76,688,6
3140000,2334,78,689,7
3150000,2337,81,693,7
3160000,2341,86,694,7
3170000,2349,83,695,7
3180000,2361,74,697,7
3190000,2368,78,699,7
3200000,2375,80,701,7
3210000,2386,77,704,7
3220000,2394,73,707,7
3230000,2404,67,709,7
3240000,2413,64,711,7
3250000,2422,63,717,7
3260000,2428,70,718,7
3270000,2431,72,718,7
3280000,2435,76,721,7
3290000,2442,79,723,7
3300000,2450,77,728,7
3310000,2455,81,732,7
3320000,2462,85,736,7
3330000,2470,86,738,7
3340000,2474,89,741,7
3350000,2481,87,743,7
3360000,2489,82,748,7
3370000,2499,81,749,7
3380000,2505,85,752,7
3390000,2515,84,752,7
3400000,2522,88,753,7
3410000,2528,87,756,7
3420000,2541,82,759,7
3430000,2551,76,762,7
3440000,2558,77,764,7
3450000,2565,79,767,7
3460000,2576,74,767,7
3470000,2581,83,769,7
3480000,2588,83,772,8
3490000,2593,88,775,8
3500000,2603,87,777,8
3510000,2610,89,778,8
3520000,2617,88,780,8
3530000,2622,92,783,8
3540000,2629,96,785,8
3550000,2635,97,788,8
3560000,2647,89,792,8
3570000,2653,90,794,8
3580000,2664,88,796,8
3590000,2673,82,799,9
3600000,2687,80,802,9
3610000,2695,81,804,9
3620000,2709,73,806,9
3630000,2715,79,808,9
3640000,2719,85,808,9
3650000,2727,79,809,9
3660000,2736,77,811,9
3670000,2745,76,814,9
3680000,2752,75,817,9
3690000,2762,68,821,9
3700000,2766,74,823,9
3710000,2772,69,824,11
3720000,2784,66,825,11
3730000,2792,68,825,11
3740000,2801,67,828,11
3750000,2804,70,830,11
3760000,2814,73,832,11
3770000,2823,77,833,11
3780000,2831,77,837,11
3790000,2837,83,840,11
3800000,2841,82,841,11
3810000,2845,82,845,11
3820000,2851,88,847,11
3830000,2858,86,848,11
3840000,2868,84,852,11
3850000,2876,82,857,11
3860000,2888,77,861,11
3870000,2896,69,866,11
3880000,2903,68,873,11
3890000,2909,68,873,11
3900000,2918,70,875,11
3910000,2925,72,876,11
3920000,2931,70,878,11
3930000,2936,73,880,11
3940000,2942,79,882,11
3950000,2948,74,889,11
3960000,2954,75,890,11
3970000,2962,71,893,11
3980000,2970,71,895,12
3990000,2978,65,898,12
4000000,2986,61,901,12
4010000,2991,62,901,12
4020000,2995,67,902,12
4030000,3002,68,905,12
4040000,3008,70,906,12
4050000,3019,71,908,12
4060000,3027,70,908,12
4070000,3034,74,909,12
4080000,3043,71,910,12
4090000,3050,72,913,12
4100000,3053,76,915,12
4110000,3061,78,915,12
4120000,3071,73,919,12
4130000,3079,75,921,12
4140000,3089,74,923,12
4150000,3099,73,924,12
4160000,3104,73,929,12
4170000,3107,72,933,12
4180000,3119,61,937,12
4190000,3122,69,939,12
4200000,3132,65,944,12
4210000,3141,64,947,12
4220000,3150,60,949,12
4230000,3154,62,949,12
4240000,3157,67,949,12
4250000,3166,71,950,12
4260000,3173,73,955,12
4270000,3176,74,956,12
4280000,3185,73,959,12
4290000,3191,76,962,12
4300000,3196,79,965,12
4310000,3204,81,968,12
4320000,3209,87,972,12
4330000,3213,91,975,12
4340000,3222,90,977,12
4350000,3229,88,979,12
4360000,3242,83,979,12
4370000,3250,84,980,12
4380000,3258,85,984,12
4390000,3268,82,986,12
4400000,3278,81,989,12
4410000,3285,81,990,12
4420000,3295,81,991,12
4430000,3302,80,992,12
4440000,3312,78,993,13
4450000,3319,81,995,13
4460000,3328,77,996,13
4470000,3334,83,1000,13
4480000,3341,86,1001,13
4490000,3347,91,1003,13
4500000,3357,92,1003,13
4510000,3363,93,1006,13
4520000,3369,92,1009,13
4530000,3374,94,1014,13
4540000,3384,91,1019,14
4550000,3396,87,1021,14
4560000,3407,83,1022,14
4570000,3416,81,1024,14
4580000,3429,78,1025,14
4590000,3437,77,1025,14
4600000,3443,80,1031,14
4610000,3445,85,1035,14
4620000,3453,81,1039,14
4630000,3465,82,1040,14
4640000,3477,78,1042,14
4650000,3484,72,1044,14
4660000,3491,73,1045,14
4670000,3501,73,1046,14
4680000,3506,72,1051,14
4690000,3514,69,1053,14
4700000,3517,75,1056,14
4710000,3527,66,1059,14
4720000,3536,64,1062,14
4730000,3544,66,1062,14
4740000,3553,68,1062,14
4750000,3559,69,1063,14
4760000,3566,75,1065,14
4770000,3570,83,1067,14
4780000,3581,82,1069,14
4790000,3588,88,1071,14
4800000,3593,84,1074,14
4810000,3599,86,1074,14
4820000,3608,90,1075,14
4830000,3617,85,1077,14
4840000,3625,84,1082,14
4850000,3629,88,1085,14
4860000,3643,82,1088,14
4870000,3652,77,1089,14
4880000,3660,78,1093,14
4890000,3668,73,1096,14
4900000,3673,80,1097,14
4910000,3682,78,1100,14
4920000,3687,78,1101,14
4930000,3700,73,1103,14
4940000,3709,77,1104,14
4950000,3719,74,1105,14
4960000,3724,77,1105,14
4970000,3731,77,1105,14
4980000,3738,80,1106,14
4990000,3747,73,1109,14
