time,success,flying,dropped,failed
0,0,0,0,0
10000,0,12,2,0
20000,0,22,3,0
30000,3,20,5,0
40000,8,20,6,0
50000,14,23,9,0
60000,20,28,10,1
70000,26,28,12,1
80000,35,31,12,1
90000,44,30,13,1
100000,53,27,14,1
110000,63,24,15,1
120000,71,21,17,1
130000,76,19,22,1
140000,81,23,22,1
150000,88,22,26,1
160000,92,24,29,1
170000,98,28,30,1
180000,106,27,30,1
190000,113,29,32,1
200000,125,29,34,1
210000,132,34,37,1
220000,141,37,39,1
230000,152,31,42,1
240000,164,22,47,1
250000,171,22,49,1
260000,179,23,52,1
270000,185,25,52,1
280000,193,24,55,1
290000,201,17,59,1
300000,203,22,61,1
310000,207,20,65,1
320000,210,29,66,1
330000,219,37,67,1
340000,230,29,73,1
350000,242,22,76,2
360000,246,26,76,2
370000,250,34,78,2
380000,259,37,81,2
390000,269,32,83,2
400000,279,27,86,2
410000,286,27,86,2
420000,292,27,87,2
430000,298,27,88,3
440000,308,29,89,3
450000,315,31,90,3
460000,325,30,92,3
470000,332,34,94,3
480000,338,41,97,3
490000,348,36,100,4
500000,357,33,103,4
510000,370,27,104,4
520000,381,26,105,4
530000,389,27,109,4
540000,395,23,111,4
550000,398,29,112,4
560000,403,37,113,4
570000,416,29,115,4
580000,423,31,115,4
590000,433,30,117,4
600000,440,28,120,4
610000,451,27,122,4
620000,458,28,127,4
630000,466,29,127,4
640000,472,34,128,4
650000,482,32,129,4
660000,491,33,131,4
670000,502,33,132,4
680000,511,29,134,4
690000,518,29,134,4
700000,526,24,138,4
710000,534,27,138,4
720000,542,29,140,4
730000,547,29,142,4
740000,554,28,146,4
750000,562,23,148,4
760000,570,17,150,4
770000,578,18,152,4
780000,581,21,156,4
790000,585,20,162,4
800000,591,24,162,4
810000,598,21,165,4
820000,604,18,168,4
830000,607,25,168,4
840000,614,28,169,4
850000,618,39,169,4
860000,628,41,172,4
870000,636,40,174,4
880000,651,24,180,4
890000,656,24,186,4
900000,667,19,187,4
910000,671,25,190,4
920000,676,29,191,4
930000,687,25,196,4
940000,692,26,201,4
950000,695,24,205,4
960000,705,22,206,4
970000,710,29,209,4
980000,713,40,214,5
990000,721,36,217,5
1000000,730,35,220,5
1010000,741,35,223,5
1020000,756,30,224,5
1030000,762,24,227,5
1040000,769,22,228,5
1050000,780,20,231,5
1060000,785,27,232,5
1070000,790,28,234,5
1080000,796,31,237,5
1090000,802,29,242,5
1100000,813,23,244,5
1110000,822,21,245,5
1120000,828,21,246,5
1130000,833,23,247,5
