time,success,flying,dropped,failed
0,0,0,0,0
100000,14,338,49,0
200000,216,375,71,0
300000,353,555,94,0
400000,579,620,122,16
500000,847,679,155,16
600000,1138,653,171,16
700000,1454,677,216,16
800000,1732,665,267,16
900000,2011,685,287,19
1000000,2332,667,331,22
1100000,2540,806,342,22
1200000,2937,674,378,22
1300000,3157,722,462,22
1400000,3478,663,490,22
1500000,3762,686,533,22
1600000,4082,673,585,22
1700000,4386,711,632,22
1800000,4646,739,652,22
1900000,4989,669,683,22
2000000,5279,624,755,25
2100000,5558,656,788,25
2200000,5819,631,838,25
2300000,6083,659,875,25
2400000,6352,676,918,25
2500000,6687,638,959,26
2600000,6915,688,1001,26
2700000,7217,792,1038,27
2800000,7587,741,1068,27
2900000,7880,687,1090,31
3000000,8115,777,1137,31
3100000,8466,748,1208,31
3200000,8750,704,1236,31
3300000,8997,775,1279,31
3400000,9272,746,1352,31
3500000,9551,733,1403,31
3600000,9885,653,1428,31
3700000,10164,745,1487,31
3800000,10461,757,1533,31
3900000,10772,695,1592,31
4000000,10975,729,1638,42
4100000,11320,724,1690,42
4200000,11639,667,1719,42
4300000,11962,631,1764,42
4400000,12225,584,1795,43
4500000,12454,628,1826,43
4600000,12686,685,1862,43
4700000,12950,799,1900,43
4800000,13259,731,1943,43
4900000,13464,764,1974,43
