type,start,end,duration
ADD,2887642,3382225,494583
RETRIEVE,1274588,1401386,126798
ADD,2646944,3192649,545705
ADD,2344067,3066806,722739
ADD,2512870,2851857,338987
RETRIEVE,1320315,1422109,101794
ADD,3043102,3886761,843659
RETRIEVE,657407,748223,90816
RETRIEVE,2175256,2237578,62322
ADD,1401771,1934552,532781
RETRIEVE,4113180,4209762,96582
RETRIEVE,218034,309892,91858
ADD,789846,1327704,537858
RETRIEVE,3593556,3657034,63478
ADD,3528439,3765137,236698
ADD,363130,816561,453431
RETRIEVE,3989124,4090244,101120
RETRIEVE,4553128,4682670,129542
RETRIEVE,3669572,3755244,85672
RETRIEVE,1102562,1150942,48380
RETRIEVE,2770697,2863231,92534
ADD,475922,937292,461370
ADD,4029366,4380461,351095
ADD,662506,1062434,399928
ADD,3753918,4155208,401290
DELETE,2557627,3014050,456423
RETRIEVE,3660228,3739870,79642
RETRIEVE,1638997,1711317,72320
RETRIEVE,3101469,3204035,102566
DELETE,1354113,1793378,439265
DELETE,1202433,1557901,355468
RETRIEVE,3419838,3505116,85278
RETRIEVE,1569967,1650455,80488
DELETE,1639538,2102641,463103
DELETE,1247188,1939280,692092
DELETE,880594,1238916,358322
DELETE,2952643,3435451,482808
DELETE,1667312,2007929,340617
DELETE,786418,1057617,271199
RETRIEVE,3684746,3781038,96292
RETRIEVE,3771852,3868406,96554
ADD,4161877,4381361,219484
RETRIEVE,3696796,3862644,165848
RETRIEVE,337569,473585,136016
RETRIEVE,253780,355108,101328
RETRIEVE,1688909,1771719,82810
DELETE,3022059,3463677,441618
DELETE,763060,1181684,418624
RETRIEVE,2724203,2847031,122828
DELETE,1447104,1773556,326452
DELETE,2188138,2641708,453570
DELETE,2534467,2935924,401457
DELETE,3274588,3803376,528788
RETRIEVE,833995,957607,123612
RETRIEVE,1713694,1851804,138110
RETRIEVE,2681038,2799832,118794
DELETE,3979265,4542711,563446
RETRIEVE,40496,160554,120058
DELETE,2775572,3080030,304458
RETRIEVE,1682992,1755280,72288
RETRIEVE,1953635,2013513,59878
DELETE,4067442,4609543,542101
DELETE,958715,1354771,396056
DELETE,1521008,1751017,230009
RETRIEVE,4699473,4779087,79614
DELETE,3051597,3303331,251734
RETRIEVE,770725,856477,85752
ADD,2937063,3445413,508350
ADD,3233072,3601084,368012
DELETE,4234315,4693610,459295
RETRIEVE,4569967,4696873,126906
ADD,496826,894596,397770
RETRIEVE,2130114,2237806,107692
RETRIEVE,3833995,3962445,128450
RETRIEVE,2224445,2313001,88556
ADD,2660066,3108670,448604
RETRIEVE,1409780,1513330,103550
ADD,4015884,4326290,310406
ADD,101972,557107,455135
ADD,1969085,2490582,521497
ADD,3233426,3676295,442869
ADD,2958715,3509422,550707
DELETE,4511933,4788348,276415
RETRIEVE,4190823,4294629,103806
RETRIEVE,3692556,3765316,72760
DELETE,618347,988110,369763
RETRIEVE,1394635,1463469,68834
ADD,2290271,2794406,504135
ADD,2019887,2636771,616884
ADD,575523,1051967,476444
RETRIEVE,1943630,2097974,154344
ADD,1722150,2190181,468031
DELETE,1956235,2464317,508082
RETRIEVE,2339671,2454925,115254
RETRIEVE,4455987,4554873,98886
DELETE,1542006,2047734,505728
RETRIEVE,4558943,4696071,137128
ADD,4445431,4884668,439237
ADD,2342738,2947439,604701
RETRIEVE,2652241,2741067,88826
DELETE,1827418,2328218,500800
RETRIEVE,4142993,4271943,128950
DELETE,1865406,2205013,339607
RETRIEVE,4176154,4266792,90638
RETRIEVE,2414571,2498735,84164
RETRIEVE,3374850,3491260,116410
ADD,4253780,4630371,376591
ADD,4305699,4791268,485569
ADD,294842,695882,401040
RETRIEVE,1218034,1265044,47010
ADD,650740,905392,254652
RETRIEVE,442729,539089,96360
DELETE,3178172,3699039,520867
ADD,725700,1219088,493388
ADD,3560385,3990969,430584
DELETE,2374850,2835470,460620
RETRIEVE,1993065,2099975,106910
ADD,2784938,3092018,307080
RETRIEVE,3248779,3311131,62352
DELETE,2752398,3086966,334568
ADD,685108,1126235,441127
ADD,1972704,2446016,473312
DELETE,243200,790100,546900
RETRIEVE,2806865,2859225,52360
RETRIEVE,125953,205759,79806
DELETE,1475922,2003950,528028
ADD,2763060,3423496,660436
RETRIEVE,1453612,1542322,88710
DELETE,512870,992473,479603
RETRIEVE,4292039,4355685,63646
ADD,3063717,3569798,506081
ADD,1808868,2204850,395982
DELETE,2091812,2504257,412445
RETRIEVE,3570513,3636741,66228
RETRIEVE,3457312,3626038,168726
RETRIEVE,1268180,1367584,99404
ADD,1294842,1838055,543213
ADD,3677690,4161323,483633
DELETE,4741049,4855808,114759
ADD,1178172,1456754,278582
RETRIEVE,1835347,1956813,121466
DELETE,2802422,3269805,467383
ADD,2495492,2900377,404885
ADD,630485,825567,195082
RETRIEVE,3558310,3618930,60620
DELETE,2238523,2716245,477722
DELETE,4164799,4505249,340450
ADD,1190823,1653713,462890
ADD,928646,1266614,337968
DELETE,3427080,3705134,278054
DELETE,520362,940014,419652
ADD,4375291,4764750,389459
ADD,2015884,2244253,228369
RETRIEVE,4100097,4269315,169218
DELETE,2187552,2632876,445324
DELETE,3940663,4625853,685190
ADD,3026046,3601276,575230
RETRIEVE,48947,172509,123562
RETRIEVE,959787,1065739,105952
DELETE,534819,855110,320291
RETRIEVE,1337569,1424343,86774
DELETE,1812737,2156708,343971
DELETE,3752398,4073161,320763
DELETE,1391545,1815885,424340
DELETE,3380026,3840053,460027
RETRIEVE,2073663,2159219,85556
RETRIEVE,4557627,4643539,85912
ADD,785893,1288258,502365
RETRIEVE,1872757,1987369,114612
DELETE,2674059,3254265,580206
RETRIEVE,3727411,3786257,58846
DELETE,3476740,3847921,371181
RETRIEVE,557319,679659,122340
ADD,1052829,1384765,331936
RETRIEVE,325970,428700,102730
DELETE,268180,743577,475397
RETRIEVE,3231730,3303006,71276
DELETE,1786418,2169828,383410
DELETE,1818101,2287068,468967
ADD,625578,1002947,377369
ADD,968330,1094707,126377
RETRIEVE,3348464,3443506,95042
DELETE,1088935,1476412,387477
ADD,4030530,4408131,377601
RETRIEVE,2622727,2688213,65486
RETRIEVE,3394635,3430643,36008
ADD,2192811,2599919,407108
DELETE,2457312,2805850,348538
ADD,332146,479544,147398
RETRIEVE,4484488,4591808,107320
RETRIEVE,2712929,2830423,117494
ADD,2593714,2974419,380705
RETRIEVE,4474974,4593036,118062
ADD,1992832,2598061,605229
DELETE,1050246,1563451,513205
RETRIEVE,2181921,2293391,111470
RETRIEVE,1203874,1311232,107358
ADD,2793656,3176325,382669
RETRIEVE,4243200,4356280,113080
RETRIEVE,3823567,3941575,118008
RETRIEVE,3757136,3896022,138886
RETRIEVE,4653848,4745820,91972
DELETE,2238339,2523166,284827
DELETE,3071666,3460208,388542
ADD,742657,1158659,416002
ADD,4182425,4607997,425572
RETRIEVE,855776,935994,80218
DELETE,1752926,2220846,467920
RETRIEVE,3482903,3550009,67106
ADD,4035638,4602410,566772
RETRIEVE,1026046,1154308,128262
RETRIEVE,4328661,4440705,112044
ADD,1622353,2178767,556414
RETRIEVE,4497774,4579576,81802
RETRIEVE,4187450,4245286,57836
DELETE,3075535,3580420,504885
RETRIEVE,317878,406768,88890
DELETE,1056048,1572180,516132
ADD,1082515,1368666,286151
RETRIEVE,3496826,3595934,99108
RETRIEVE,2702088,2845304,143216
DELETE,2950506,3324883,374377
DELETE,71912,504210,432298
DELETE,463367,752020,288653
DELETE,685030,1074647,389617
ADD,1625100,2376290,751190
DELETE,826758,1369526,542768
RETRIEVE,2700040,2777942,77902
ADD,3620665,3972029,351364
ADD,3484488,4019668,535180
DELETE,4345800,4841782,495982
RETRIEVE,2618971,2697959,78988
RETRIEVE,2927586,2986712,59126
ADD,1334256,1934482,600226
RETRIEVE,3391545,3495493,103948
RETRIEVE,799295,915501,116206
RETRIEVE,2121552,2261654,140102
ADD,4232638,4665603,432965
RETRIEVE,557244,650268,93024
RETRIEVE,1890859,1951993,61134
RETRIEVE,2244809,2334313,89504
RETRIEVE,1912016,1984216,72200
DELETE,3936712,4292819,356107
ADD,91812,640046,548234
RETRIEVE,4537231,4637143,99912
ADD,4438780,4809646,370866
RETRIEVE,1618971,1725253,106282
DELETE,2612426,3024583,412157
RETRIEVE,3441810,3559506,117696
ADD,855768,1140391,284623
DELETE,4098413,4441402,342989
ADD,845453,1417024,571571
RETRIEVE,4188138,4285976,97838
RETRIEVE,3511480,3613306,101826
ADD,3734114,4173259,439145
RETRIEVE,2394254,2537318,143064
DELETE,3656726,3833640,176914
DELETE,3558943,4138241,579298
ADD,3371455,3780833,409378
ADD,3052829,3285265,232436
