time,success,flying,dropped,failed
0,0,0,0,0
100000,12,340,49,0
200000,137,454,71,0
300000,239,669,94,0
400000,395,804,122,16
500000,646,880,155,16
600000,945,846,171,16
700000,1220,911,216,16
800000,1498,899,267,16
900000,1777,919,287,19
1000000,2085,913,331,22
1100000,2309,1036,342,22
1200000,2682,928,378,22
1300000,2926,952,462,22
1400000,3286,854,490,22
1500000,3555,892,533,22
1600000,3897,857,585,22
1700000,4174,922,632,22
1800000,4442,942,652,22
1900000,4781,876,683,22
2000000,5088,814,755,25
2100000,5363,850,788,25
2200000,5654,795,838,25
2300000,5918,823,875,25
2400000,6180,847,918,25
2500000,6508,816,959,26
2600000,6708,894,1001,26
2700000,6990,1018,1038,27
2800000,7359,968,1068,27
2900000,7667,899,1090,31
3000000,7927,959,1137,31
3100000,8285,923,1208,31
3200000,8551,897,1236,31
3300000,8784,982,1279,31
3400000,9066,946,1352,31
3500000,9367,911,1403,31
3600000,9733,799,1428,31
3700000,9993,908,1487,31
3800000,10318,892,1533,31
3900000,10603,856,1592,31
4000000,10828,879,1638,31
4100000,11162,885,1690,31
4200000,11466,843,1719,31
4300000,11757,833,1764,31
4400000,11991,814,1795,31
4500000,12182,881,1820,31
4600000,12456,834,1854,31
4700000,12793,845,1872,35
4800000,13072,896,1895,35
4900000,13367,804,1931,35
