type,start,end,duration
RETRIEVE,1883573,1990375,106802
DELETE,2887194,3557932,670738
ADD,1268480,1816167,547687
ADD,3617905,4207125,589220
ADD,3645679,4321271,675592
DELETE,3677895,4094898,417003
RETRIEVE,2336860,2435010,98150
DELETE,4391545,4714986,323441
RETRIEVE,2136292,2212070,75778
DELETE,2343658,2832692,489034
RETRIEVE,2510689,2627097,116408
RETRIEVE,1316602,1414450,97848
DELETE,2125953,2373212,247259
ADD,1349264,2029998,680734
RETRIEVE,4055030,4150992,95962
DELETE,1397129,1948114,550985
RETRIEVE,2086160,2202268,116108
ADD,2269349,2626401,357052
RETRIEVE,192565,294099,101534
RETRIEVE,2983284,3081592,98308
ADD,362585,848145,485560
ADD,2054531,2486033,431502
ADD,3988215,4459600,471385
ADD,1570513,1888034,317521
DELETE,1395182,1998132,602950
DELETE,3668627,3864617,195990
DELETE,723752,1157329,433577
ADD,1101972,1645546,543574
DELETE,2766938,3059510,292572
DELETE,4001580,4321046,319466
RETRIEVE,4026080,4110654,84574
ADD,3752926,4317678,564752
ADD,2557244,3151170,593926
RETRIEVE,3660066,3774966,114900
ADD,3763060,4120678,357618
RETRIEVE,4777558,4862584,85026
RETRIEVE,178172,208430,30258
RETRIEVE,3098413,3134623,36210
RETRIEVE,1352262,1471716,119454
ADD,3419137,3625234,206097
DELETE,3129491,3583950,454459
ADD,1561010,1737489,176479
DELETE,1638873,2282512,643639
ADD,3420905,3961079,540174
RETRIEVE,2702088,2775310,73222
RETRIEVE,4706061,4795759,89698
ADD,2770387,3081210,310823
DELETE,1665303,2101363,436060
DELETE,1723833,2341115,617282
DELETE,3683598,4085500,401902
DELETE,3770697,4125628,354931
ADD,4155379,4749861,594482
RETRIEVE,3696022,3840122,144100
RETRIEVE,2558259,2682117,123858
DELETE,337421,661501,324080
RETRIEVE,3994409,4097587,103178
ADD,1685339,2256308,570969
DELETE,3017322,3586456,569134
DELETE,334940,757501,422561
RETRIEVE,4623030,4740144,117114
RETRIEVE,496826,594096,97270
ADD,990784,1331716,340932
RETRIEVE,4474974,4563388,88414
RETRIEVE,1442729,1506537,63808
ADD,2233581,2640143,406562
RETRIEVE,2185801,2312669,126868
ADD,2531608,2776811,245203
ADD,832752,1215347,382595
ADD,1712929,2041132,328203
RETRIEVE,3884058,3970718,86660
