time,success,flying,dropped,failed
0,0,0,0,0
10000,0,6,1,0
20000,0,14,1,0
30000,1,24,2,0
40000,5,24,3,0
50000,5,31,3,0
60000,8,36,5,0
70000,17,33,8,0
80000,21,42,9,0
90000,31,39,12,0
100000,39,42,14,0
110000,48,41,15,0
120000,56,46,15,0
130000,62,45,16,0
140000,76,39,19,0
150000,85,34,21,0
160000,92,36,24,0
170000,98,38,27,0
180000,103,43,31,0
190000,112,43,32,0
200000,124,37,33,0
210000,130,44,36,0
220000,138,47,40,0
230000,151,41,42,0
240000,160,39,43,0
250000,168,37,45,0
260000,179,34,46,0
270000,186,31,48,0
280000,197,29,49,0
290000,203,31,51,0
300000,208,36,51,0
310000,213,38,51,0
320000,223,29,54,0
330000,230,33,55,0
340000,236,35,56,0
350000,241,40,60,0
360000,251,38,61,0
370000,258,43,67,0
380000,264,46,70,0
390000,277,38,73,0
400000,283,34,78,0
410000,288,33,82,0
420000,298,30,82,0
430000,304,31,84,0
440000,310,31,86,0
450000,314,37,87,0
460000,323,34,88,1
470000,333,35,91,1
480000,342,40,91,1
490000,346,45,91,1
500000,354,47,93,1
510000,362,41,98,1
520000,377,32,100,1
530000,384,33,104,1
540000,391,29,106,1
550000,399,28,106,1
560000,407,29,107,1
570000,409,33,110,1
580000,416,38,112,1
590000,423,40,113,1
600000,432,40,117,1
610000,441,39,118,1
620000,448,41,122,1
630000,454,38,125,1
640000,466,34,128,1
650000,472,33,129,1
660000,481,31,134,1
670000,486,34,137,1
680000,496,36,139,1
690000,505,34,142,1
700000,515,30,143,1
710000,516,41,147,1
720000,524,44,151,1
730000,532,44,152,1
740000,541,41,154,1
750000,550,39,155,1
760000,562,34,157,1
770000,569,32,158,1
780000,579,28,162,1
790000,585,31,163,1
800000,592,32,165,1
810000,595,34,167,1
820000,601,30,169,1
830000,610,30,172,1
840000,616,30,175,1
850000,623,37,175,1
860000,629,38,177,1
870000,637,45,180,1
880000,644,49,181,1
890000,650,50,182,1
900000,660,42,187,1
910000,668,41,188,1
920000,676,37,191,1
930000,687,31,195,1
940000,691,33,197,1
950000,698,36,198,1
960000,705,36,199,1
970000,712,38,204,1
980000,720,42,206,1
990000,730,37,210,1
1000000,739,38,212,1
1010000,746,37,213,1
1020000,753,37,214,1
1030000,759,42,215,1
1040000,766,38,217,1
1050000,778,32,218,1
1060000,782,38,218,1
1070000,790,35,222,1
1080000,799,38,224,1
1090000,807,39,225,1
1100000,818,40,226,1
1110000,823,42,228,1
1120000,830,46,230,1
1130000,838,42,232,1
1140000,846,43,234,1
1150000,858,37,234,1
1160000,866,41,234,1
1170000,873,42,237,1
1180000,880,46,239,2
1190000,889,43,243,2
1200000,900,38,244,2
1210000,910,39,249,2
1220000,915,44,254,2
1230000,922,43,257,2
1240000,934,36,260,2
1250000,945,32,261,2
1260000,953,31,263,2
1270000,959,30,264,2
1280000,965,33,265,2
1290000,971,34,268,2
1300000,978,36,269,2
1310000,981,37,272,2
1320000,992,29,273,2
1330000,998,33,275,2
1340000,1007,28,279,3
1350000,1009,36,283,3
1360000,1014,37,286,3
1370000,1018,49,288,3
1380000,1028,49,290,3
1390000,1035,48,292,3
1400000,1047,42,293,3
1410000,1055,39,296,3
1420000,1067,34,296,3
1430000,1074,32,300,3
1440000,1083,29,302,3
1450000,1090,32,303,3
1460000,1094,31,308,3
1470000,1102,35,310,3
1480000,1110,40,311,3
1490000,1116,42,312,3
1500000,1122,47,313,3
1510000,1128,45,316,3
1520000,1142,38,317,3
1530000,1152,40,317,3
1540000,1165,31,318,3
1550000,1172,28,321,3
1560000,1176,33,322,3
1570000,1184,32,324,3
1580000,1188,40,326,3
1590000,1196,38,330,3
1600000,1201,44,332,3
1610000,1209,42,335,3
1620000,1218,45,336,3
1630000,1224,41,339,4
1640000,1232,42,341,4
1650000,1243,37,341,4
1660000,1249,43,341,4
1670000,1260,41,343,4
1680000,1264,49,345,4
1690000,1274,48,346,4
1700000,1284,43,348,4
1710000,1296,43,352,4
1720000,1303,48,355,4
1730000,1309,48,358,4
1740000,1321,44,358,4
1750000,1333,38,360,4
1760000,1345,31,364,4
1770000,1352,30,364,4
1780000,1362,27,367,4
1790000,1367,31,368,4
1800000,1375,33,368,4
1810000,1381,32,370,4
1820000,1386,30,371,4
1830000,1392,34,373,4
1840000,1400,35,373,4
1850000,1409,38,375,4
1860000,1419,36,376,4
1870000,1426,45,378,4
1880000,1430,52,379,4
1890000,1441,46,382,4
1900000,1453,39,384,4
1910000,1461,38,385,4
1920000,1470,36,385,4
1930000,1480,32,388,4
1940000,1491,27,390,4
1950000,1499,28,392,4
1960000,1501,32,394,4
1970000,1509,38,394,4
1980000,1518,43,394,4
1990000,1525,44,395,4
2000000,1531,44,401,4
2010000,1541,38,404,4
2020000,1552,33,406,4
2030000,1559,37,407,4
2040000,1566,35,407,4
2050000,1573,34,408,4
2060000,1577,36,412,4
2070000,1589,32,413,4
2080000,1592,40,416,4
2090000,1602,37,419,4
2100000,1611,39,421,4
2110000,1616,42,422,4
2120000,1627,41,425,4
2130000,1635,39,425,4
2140000,1644,40,426,4
2150000,1652,37,427,4
2160000,1663,36,429,4
2170000,1672,34,433,4
2180000,1680,38,435,4
2190000,1693,34,436,4
2200000,1698,35,437,4
2210000,1705,41,440,4
2220000,1714,46,441,4
2230000,1722,46,442,4
2240000,1735,39,444,4
2250000,1744,35,447,4
2260000,1752,34,449,4
2270000,1757,33,451,4
2280000,1768,31,452,4
2290000,1773,35,453,4
2300000,1778,40,453,4
2310000,1786,36,456,4
2320000,1797,26,459,4
2330000,1803,30,461,4
2340000,1811,30,462,4
2350000,1816,38,463,4
2360000,1825,34,467,4
2370000,1835,42,467,4
2380000,1839,48,469,4
2390000,1847,44,473,4
2400000,1857,37,477,4
2410000,1865,35,479,4
2420000,1871,36,479,4
2430000,1881,28,486,4
2440000,1890,27,486,4
2450000,1895,29,490,4
2460000,1900,31,491,4
2470000,1906,38,492,4
2480000,1911,42,497,4
2490000,1924,36,499,4
